uuid,text_data
aebbed60-9d6d-4fd8-b4c2-ce747a609d26,"WHITE PAPER Building I nnovation Capacity Toll Industry Practice and Trends January 14, 2021 Abstract The toll industry operates in a dynamic environment where emerging technology is accelerating the pace of change. It is facing a grand opportunity to play a key role in shaping, directing and delivering the future mobility ecosystem; being open to change and moving decis ively is key. This industry scan shows that organizations are inc reasingly adopting innovation as a strategy for embracing change and are creating a c ulture that speeds the rate at whic h relevant ideas , technologies, and opportunities are shared, ac cepted and put into practice. The paper introduces seven broad observations on the state of practice, along with highlights and case studies of practice . Toget her, these findings demonstrat e the progress t hat individual or ganizations ar e making in building innovation capac ity and how t hey ar e doing it . Subc ommittee Chair: Jeff Dailey Authors: Mia Zmud, Steve Pustelnyk, Tyler"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Milligan, Heidi Corcoran, and Carolyn LaFollette Subcommittee Members: Trey Baker (WSP), Craig Bettmann (Cogensia), James Bird (Red Fox), Steven Bird (Red Fox), Mary Biswell (OTA), Kelly Brown (Colorado HPTE), Charles Buchanan (PTC), George Christopher (Douglas Stuart),Eric Coraggio (Transurban), Heidi Corcoran (Milligan), Jeff Dailey (CTRMA), Michael Davis (RS&H), Vickie Dewey (AECOM), Federico Di Genarro (AISCAT), Bob Frey (THEA), Al Gerayeli (AECOM), Thomas Greiner (ASFINAG), Brennan Hamilton (Ford), David Hannon (I77 Partners), Kathryn Hartzell (PTC), Brad Heigel (PTC), Rick Herrington (HNTB ), Sean Hill (DRJTBC), Adam Horn (HNTB), Gregory Jones (MTA), Pat Jones (IBTTA), Brian Kelley (OTC), Allison Kelly (The Ray), Geoff Korfin (Innovative Prod), Dave Kristick (Atkins), Juan Kuthy- Saenger (Atkins), Marty Lege’ (Atkins), Marwan Madi (CDM), Tyler Milligan (Milligan), Elizabeth Mow (NTTA), Waseem Naqvi (Raytheon), Cindy Norcross (IBTTA), Steve Novosad (HNTB), Claudio Occhipinti (Fagan), John O'Neill (MTA),"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Eric Peterson (Eric Peterson), Lev Pinelis (Transurban), Kenneth Plunk (aetolls), Carl Pro (RJ Lee), Steve Pustel nyk (CTRMA), David Raines (RKK), Laura Rogers (The Ray), Paul Satchfield (FTE), Chelsea Scheid (RS&H), Michael Sexton (CTRMA), Alex Shirshov (Transurban), Jeff Siegel (HNTB), Chris Swenson (WSP), Robert Taylor (PTC), Stephen Taylor (i77 Partners), Mario Toscano (Drive Engineering), Frank Velez (NTTA), Justin Word (CTRMA), Mia Zmud (CTRMA ) Emerging Technologies Committee Building Innovation Capacity : Toll Industry Practice And Trends Table of Contents Introduction ............................................................................................................................................. 1 State of Practice ...................................................................................................................................... 2 There’s not a “one size fits all” approach to innovation. ................................................................ 4 Emerging"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," technology is driving organizations to reconsider their approach to innovation. It is becoming increasingly “need-driven.” ........................................................................................... 5 Organizations with successful programs have executive leadership support and a formal commitment from leaders at all levels to make innovation a priority. ............................................ 6 Making innovation viable and sustainable requires embedding it into the organizational culture, within a structured environment and with performance measures. ............................................... 7 Data is a critical element of innovation programs; organizations are increasingly recognizing the importance of data centralization (and data sharing) and the need for specialized staff. ............. 9 Innovative organizations recognize the need for physical infrastructure and/or cooperative partnerships to deploy productive pilot demonstrations."
aebbed60-9d6d-4fd8-b4c2-ce747a609d26, ............................................................. 11 Technology -driven innovation calls for flexible procurement processes. .................................... 12 Profiles of Innovation ........................................................................................................................... 14 Moving Forward – Looking Ahead ...................................................................................................... 16 COVID -19 Resiliency .................................................................................................................. 17 Idea Intake Processes ................................................................................................................. 17 Tools and Resources to Support Innovation and Technology Planning ..................................... 20 Recommendations and Next Steps ..................................................................................................... 21 Recommendations
aebbed60-9d6d-4fd8-b4c2-ce747a609d26, ...................................................................................................................... 22 APPENDIX A: Quick Reference Brief | Strategy for Innovation and Technology ......................... A-1 APPENDIX B: Innovation Capacity Survey Findings ....................................................................... B-1 APPENDIX C: Detailed Case Studies ................................................................................................ C-1 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 1 of 23 Introduction The Innovation Working Group is a subcommittee of the International Bridge Turnpike and Tunnel Association (IBTTA) Emerging Technology Committee. Its charge is to identify strategies and provide guidance for organizations to build innovation capacity and to identify emerging technologies for the purpose of additional study. This white paper provides information on innovation practices and trends within the toll
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," industry and recommends areas for additional work. In 2019, t his working group published a whitepaper titled Strategies for Innovation and Technology , which offered guidance for organizations to increase their ability to innovate and provided a Technology and Innovation Matrix to identify and track emerging technologies . That guidance is predicated on the notion that achievement involves two inter connec ted and mutually reinforcing dimensions: building innovation capacity and engaging in regional collaboration. In the paper, a set of nine strategies was shared (see Table 1 and Appendix A). Table 1: Approaches for Cultivating Innovation by IBTTA Organizations Building Innovation Capacity Advancing Regional Collaboration 1. Leadership commitment 2. Chief Innovation Officer or team 3. Staffing and resource plan 4. Agile management processes 5. Future -focused technology plan 6. Flexible procurement and contracting 7. Data platform/sharing hubs 1. Committing to advancing regional collaboration and"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," interoperability 2. Regional or State transportation innovation councils/task forces 3. Transportation Systems Management and Operations (TSMO) In this work, we assess the current state of practice within our industry for carrying out these strategies . Our industry scan included a survey and structured interviews with IBTTA member organizations . The results of the survey are compiled in Appendix B, and the structured interviews led to the development of 11 case studies captured in Appendix C. As indicated in the survey results , IBTTA member organizations are in different places when it comes to embracing and cultivating innovation or adopting emerging technologies. This is largely because i nnovation can have different meanings to different organizations depending upon their business needs and strategic goals. According to M erriam-Webster, innovation means “ the introduction of something new; a new idea, method, or device. ” Within our industry, it means updating operational and business processes for"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," efficienc y gains. I t also means enabling research and development to keep tolling relevant as transformational technology and mobility trends evolve. Regardless of each organization’s progress in building innovation capacity, this white paper can serve as a reference point or baseline of practice for organizations with an interest in innovation. Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 2 of 23 The industry scan results are documented in the next three sections of this white paper. The first section provides an overview of the state of the practice through seven broad observations , each of which is also accompanied by illustrative highlights of practice. The second section presents 11 case studies that showcase organizational approaches to cultivating innovation and/or technology initiatives. The third section introduces practices and tools that stood out as “game - changers” for advancing innovation programs and technology adoption. The final"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," section includes c onclusions and recommendations for building innovation capacity. State of Practice The transportation industry is complex and operates in a dynamic environment where the pace of change and opportunities for transformation is on the rise. Building capacity for innovation positions organizations to adapt in this changing environment ; the c osts of not doing so may be great. Our changing transportation landscape, driven largely by emerging technology and a rapidly evolving mobility ecosystem , has the potential to present competitive threats to the tolling industry . The se threats go beyond falling revenue, a s cited in the report, Guide to Creating and Sustaining a Culture of Innovation. 1 Today , the toll industry plays an essential role in helping to fund, deliver, and manage key mobility infrastructure . In this evolving environment, doing business as usual won’t work moving forward, particularly as agencies look to updating or replacing legacy technology and services . For example, the"
